Año;Autoridad Portuaria;Graneles Líquidos;Graneles Sólidos;Mercancía General;Pesca Fresca;Avituallamiento;Tráfico Local;TOTAL TRAFICO;TEUS;Buques
2009;A Coruña;6.820.497;3.215.589;1.460.292;43.108;93.570;283.941;11.916.997;7.778;1.231
2009;Alicante;114.588;1.111.169;1.260.064;511;24.400;3;2.510.735;132.059;935
2009;Almería;1.502;3.291.672;542.994;4.037;117.334;0;3.957.539;1.425;1.999
2009;Avilés;673.268;2.293.135;984.041;13.590;35.981;0;4.000.015;2.575;700
2009;Bahía de Algeciras;20.142.781;1.743.479;42.316.996;2.168;3.375.642;2.329.889;69.910.955;3.043.268;24.852
2009;Bahía de Cádiz;120.321;1.636.990;2.078.670;19.762;151.767;114;4.007.624;106.399;1.644
2009;Baleares;2.023.532;1.689.471;8.040.828;2.970;170.166;0;11.926.967;127.935;7.855
2009;Barcelona;11.755.823;3.921.099;26.116.812;2.309;1.184.676;0;42.980.719;1.800.214;8.417
2009;Bilbao;20.497.399;3.827.983;7.279.066;0;129.415;446.066;32.179.929;443.464;3.042
2009;Cartagena;16.168.779;3.615.556;729.090;1.145;60.590;4.716;20.579.876;58.680;1.387
2009;Castellón;7.776.762;1.865.858;1.430.457;5.094;35.384;0;11.113.555;67.075;1.231
2009;Ceuta;1.195.410;68.226;938.115;110;555.082;0;2.756.943;13.464;12.287
2009;Ferrol-S. Cibrao;2.401.948;9.268.088;562.554;206;17.578;1.499;12.251.873;401;1.088
2009;Gijón;1.374.641;12.456.055;666.586;11.229;123.437;1.018;14.632.966;27.465;997
2009;Huelva;13.042.241;4.180.685;315.947;2.625;37.160;8.024;17.586.682;0;1.547
2009;Las Palmas;4.546.585;753.111;13.734.738;4.104;2.182.173;0;21.220.711;1.007.207;9.679
2009;Málaga;33.596;766.796;1.274.950;1.123;101.225;0;2.177.690;289.871;1.714
2009;Marín y Ría de Pontevedra;16;879.867;762.045;2.718;38.873;23;1.683.542;30.590;542
2009;Melilla;76.518;32.782;713.902;0;24.025;0;847.227;25.546;1.244
2009;Motril;1.330.089;453.149;162.078;2.916;16.769;0;1.965.001;948;328
2009;Pasaia;0;1.649.664;1.818.076;15.868;36.065;0;3.519.673;0;943
2009;Santa Cruz de Tenerife;8.423.011;848.311;5.741.067;4.647;1.045.156;1.830;16.064.022;346.254;15.479
2009;Santander;395.585;2.919.749;1.106.897;11.534;52.510;134;4.486.409;1.888;1.241
2009;Sevilla;203.522;2.421.146;1.876.824;0;43.449;0;4.544.941;129.736;1.243
2009;Tarragona;18.349.276;9.830.390;3.130.381;3.912;213.318;0;31.527.277;221.203;3.012
2009;Valencia;5.766.790;3.523.706;48.217.027;1.828;280.555;0;57.789.906;3.653.890;6.806
2009;Vigo;71.162;381.302;3.073.507;88.976;323.339;496;3.938.782;193.921;1.995
2009;Vilagarcía;224.267;488.175;245.798;0;7.021;0;965.261;16.042;279
2008;A Coruña;7.454.675;3.289.608;1.684.461;32.422;106.629;280.795;12.848.590;7.918;1.303
2008;Alicante;107.912;1.086.515;1.569.690;707;38.669;3;2.803.496;150.827;1.175
2008;Almería;3.199;4.906.958;701.376;4.661;169.711;64.429;5.850.334;630;2.419
2008;Avilés;535.275;3.114.668;1.234.954;11.924;48.628;0;4.945.449;7.615;914
2008;Bahía de Algeciras;20.506.932;1.588.521;47.519.536;2.102;3.245.254;1.983.369;74.845.714;3.327.616;24.535
2008;Bahía de Cádiz;173.740;2.117.801;2.588.765;17.646;109.124;0;5.007.076;126.408;1.709
2008;Baleares;2.074.133;2.130.632;9.017.601;2.926;240.781;0;13.466.073;176.186;9.620
2008;Barcelona;12.105.080;3.506.472;34.933.579;2.698;1.261.416;0;51.809.245;2.569.549;9.582
2008;Bilbao;23.057.335;5.266.459;9.656.656;0;152.353;1.265.152;39.397.955;557.345;3.585
2008;Cartagena;20.109.630;4.628.556;910.349;1.201;99.653;3.509;25.752.898;46.755;1.330
2008;Castellón;7.761.371;4.017.009;1.752.431;4.410;53.728;0;13.588.949;88.208;1.393
2008;Ceuta;1.115.082;71.772;996.017;95;636.796;0;2.819.762;15.488;12.788
2008;Ferrol-S. Cibrao;2.224.753;9.781.089;824.495;174;26.302;3.071;12.859.884;499;1.260
2008;Gijón;1.431.918;16.869.645;901.841;6.196;119.684;1.288;19.330.572;26.095;1.176
2008;Huelva;13.645.908;6.525.092;450.301;2.630;39.675;58.270;20.721.876;0;1.784
2008;Las Palmas;4.719.129;1.139.545;17.883.781;2.835;2.209.065;0;25.954.355;1.312.120;9.727
